loca_2,representative_point_lat,representative_point_lng
BARRINGUN,-28.84307219,145.78062870282497
MALLING,-27.06049471,151.5994767111302
MALMOE,-25.482751110000002,151.1843247155747
MALPAS-TRENTON,-19.969279005,142.12368009883733
MALU,-27.32205278,151.57589538759024
MAMU,-17.65962401,145.8149301067528
MANAPOURI,-27.855938555,151.99805536580138
MANDALAY,-20.269407535,148.73684849444572
MANGO HILL,-27.240672545000002,153.04361029015098
MANLY,-27.453328845,153.18409331506768
BARRON,-16.864422095000002,145.7117490711422
MANLY WEST,-27.465675320000003,153.16741982305285
MANNUEM,-26.627403545,151.59277736141036
MANOORA,-16.917226265,145.73667338916093
MANSFIELD,-27.532829035,153.10292823579275
MANTUAN DOWNS,-24.54589224,146.98694838590882
MANUMBAR,-26.370440615,152.2800095440706
MANUNDA,-16.917824085,145.74903051230854
MANYUNG,-26.204420040000002,152.01182487174395
MAPLETON,-26.62884305,152.86116796731437
AITKENVALE,-19.298913695,146.76939562102137
BARRON GORGE,-16.88189184,145.67270952264238
MAPOON,-11.844091514999999,142.22439440921852
MARAMIE,-16.019083745,142.25783399993702
MARBURG,-27.56309265,152.58387599572475
MARCOOLA,-26.592463215000002,153.07972723564467
MARCUS BEACH,-26.44856339,153.09229486083453
MAREEBA,-17.045317265,145.5060698657798
MARGATE,-27.24300835,153.10350009533073
MARIA CREEKS,-17.822347485,146.03943727565525
BARTLE FRERE,-17.439756345,145.88012887464882
MARIAN,-21.165139,148.95413578498352
MARLBOROUGH,-22.789681,149.81350506130195
MARMADUA,-27.4714039,150.68782840792568
MARMOR,-23.70264023,150.74579219699285
MARODIAN,-25.843166265,152.28736728067446
MAROOCHY RIVER,-26.576196420000002,153.02181171145517
MAROOCHYDORE,-26.655379935,153.08487262113047
MAROON,-28.191637715,152.69064295617733
MAROONDAN,-24.966151240000002,152.01296946446104
MARSDEN,-27.674401715000002,153.09714891538408
BARWIDGI,-17.663909795000002,144.66511343626743
MARSHLANDS,-26.150874575,151.7486506353427
MARTYVILLE,-17.61360719,146.03890588598858
MARYBOROUGH,-25.525221924999997,152.69389995033953
MARYBOROUGH WEST,-25.501353245,152.66561084293795
MARYS CREEK,-26.245609925,152.58395997354913
