loca_2,centroid_lat,centroid_lng
NOBBYS CREEK,-28.294028423367152,153.33875474192868
NOMBI,-31.187581158877585,149.7614894752705
NOONA,-31.592242306102126,144.79428258937116
NOORONG,-35.3498911572257,144.0221776025303
NOOROO,-32.3770790963987,151.88216762238486
NORAH HEAD,-33.284408784371365,151.56258857094616
ABBOTSFORD,-33.8506144569104,151.12928263767748
ALEXANDRIA,-33.909862448885384,151.1928183448332
BERALA,-33.874417798060286,151.03372126023308
NORAVILLE,-33.269913964068394,151.555712688786
NORDS WHARF,-33.144979555827526,151.60701266377563
NORMANHURST,-33.72380705804,151.09599024378798
NORTH ALBURY,-36.060216761188755,146.93657592767485
NORTH ARM,-28.32962848066509,153.3404869152023
NORTH ARM COVE,-32.6179171517099,152.05028247410596
NORTH AVOCA,-33.45652130134088,151.4346001483708
NORTH BALGOWLAH,-33.78688140274696,151.25129452376902
NORTH BATEMANS BAY,-35.6861063407902,150.1900896158496
NORTH BOAMBEE VALLEY,-30.309463748792563,153.07101073680545
BERAMBING,-33.53507296633927,150.4492181544786
NORTH BONDI,-33.88459360230232,151.27837949365804
NORTH BROTHER,-31.657370066082144,152.77319307719355
NORTH CASINO,-28.798528710974978,153.0626507755049
NORTH CURL CURL,-33.763170156420436,151.29072505840244
NORTH DORRIGO,-30.267067065433636,152.68076966832905
NORTH EPPING,-33.75867228678062,151.09409963572668
NORTH GOSFORD,-33.41804726448808,151.35448307352266
NORTH HARBOUR,-33.813156806793245,151.276356122635
BERESFIELD,-32.803559621996634,151.64072789105686
NORTH HAVEN,-31.63363452992405,152.81363606431705
NORTH LAMBTON,-32.90396307211109,151.70431174255322
NORTH LISMORE,-28.78714443518857,153.28173459616121
